负责人	学校名称	世界排名	学院	专业名称	学制	总学费（当地货币）	申请起止日	语言要求	是否需要GRE	是否有面试	是否要作品集/writing sample/essay
	爱丁堡	34	皇家（迪克）兽医学院	应用动物行为和动物福利硕士 MSc Applied Animal Behaviour and Animal Welfare	1年	25940	R1:12.15 R2:12.16-次年3.6 R3:3.7-5.8 R4:5.9-7.10	7/6.5 100/23	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	数字社会学硕士 MSc Digital Sociology	1年	32000	无明确截止日期	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	非洲与国际发展硕士 MSc Africa and International Development	1年	32000	R1:次年6.29	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	比较公共政策硕士 MSc Comparative Public Policy	1年	32000	R1:12.15 R2:12.16-次年5.4 R3:5.5-无明确日期	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	全球环境、政治和社会硕士 MSc Global Environment, Politics and Society	1年	32000	R1:次年6.29	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	全球卫生政策硕士 MSc Global Health Policy	1年	32000	R1:次年6.29	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	全球心理健康与社会硕士 MSc Global Mental Health and Society	1年	32000	R1:次年6.29	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	国际和欧洲政治学硕士 MSc International and European Politics	1年	32000	R1:次年6.29	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	国际发展硕士 MSc International Development	1年	32000	R1:9.1-12.15 R2:12.16-次5.3 R3:5.5-无明确截止日期	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	国际关系硕士 MSc International Relations	1年	32000	R1:9.1-12.15 R2:12.16-次5.3 R3:5.5-无明确截止日期	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	生物经济、创新和治理管理硕士 MSc Management of Bioeconomy, Innovation and Governance	1年	32000	R1:次年6.29	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	医学人类学硕士 MSc Medical Anthropology	1年	32000	R1:次年6.29	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	公共政策硕士 MSc Public Policy	1年	32000	R1:12.15 R2:12.16-次年5.4 R3:5.5-无明确日期	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	社会中的科学和技术硕士 MSc Science and Technology in Society	1年	32000	R1:次年6.29	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	社会人类学硕士 MSc Social Anthropology	1年	32000	R1:次年6.29	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	社会研究硕士 MSc Social Research	1年	32000	R1:次年6.29	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	社会学和全球变化硕士 MSc Sociology and Global Change	1年	32000	无明确截止日期	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	社会研究硕士 MSc Social Research	1年	32000	R1:次年6.29	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会与政治学学院	冲突、安全与发展硕士 MSc Conflict, Security and Development	1年	32000	R1:次年6.29	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会科学卫生学院	咨询（人际对话）硕士 MCouns Counselling (Interpersonal Dialogue)	2年	29150	R1:1.7	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会科学卫生学院	高级护理学硕士 MSc Advanced Nursing	1年	32000	R1:7.30	6.5/6 92/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会科学卫生学院	咨询研究硕士 MSc Counselling Studies	1年	32000	R1:12.15 R2:12.16-次年5.4 R3:5.5-无明确日期	7/6.5 100/23	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会科学卫生学院	儿童和青少年心理健康硕士：心理学方法 MSc Mental Health in Children and Young People: Psychological Approaches	1年	32000	R1:12.15 R2:12.16-次年5.4 R3:5.5-无明确日期	7/6.5 100/23	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会科学卫生学院	精神健康心理学硕士（转换） MSc Psychology of Mental Health (Conversion)	1年	32000	R1:12.15 R2:12.16-次年5.4 R3:5.5-无明确日期	7/6.5 100/23	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会科学卫生学院	注册护士前护理学（成人）MN（T） MN(T) Nursing with Pre-Registration (Adult)	2年	38900	R1:6.30	7/7 100/25	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会科学卫生学院	心理治疗硕士 MSc Psychological Therapies	2年	27200	R1:次2.12 R2:2.13-5.4	7/6.5 100/23	无明确要求	无明确要求	无明确要求
	爱丁堡	34	社会科学卫生学院	国际与跨文化咨询研究硕士 MSc International and Cross-Cultural Counselling Studies	1年	32000	R1:7.30	7/6.5 100/23	无明确要求	无明确要求	无明确要求
	爱丁堡	34	神学院	圣经研究神学/理学硕士 MTh, MSc Biblical Studies	1年	32000	R1:8.30	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	神学院	宗教研究硕士 MSc Religious Studies	1年	32000	R1:8.30	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	神学院	科学与宗教硕士 MSc Science and Religion	1年	32000	R1:8.30	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	神学院	历史神学硕士 MTh Theology in History	1年	32000	R1:8.31	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	神学院	世界基督教硕士 MTh World Christianity	1年	32000	R1:8.31	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	神学院	宗教与文学硕士 MTh, MSc Religion and Literature	1年	32000	R1:8.30	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	神学院	佛教研究硕士 MSc Buddhist Studies	1年	32000	R1:8.30	7/6 100/20	无明确要求	无明确要求	无明确要求
	爱丁堡	34	经济学院	经济学（金融）硕士 MSc Economics (Finance)	1年	32000	R1:12.15 R2:12.16-次年5.4 R3:5.5-无明确日期	7/R L6.5 6 100/R L23 20	加分项	无明确要求	无明确要求
	爱丁堡	34	经济学院	经济学硕士 MSc Economics	1年	32000	R1:12.15 R2:12.16-次年5.4 R3:5.5-无明确日期	7/R L6.5 6 100/R L23 20	加分项	无明确要求	无明确要求
	爱丁堡	34	经济学院	经济学（计量经济学）硕士 MSc Economics (Econometrics)	1年	32000	R1:12.15 R2:12.16-次年5.4 R3:5.5-无明确日期	7/R L6.5 6 100/R L23 20	加分项	无明确要求	无明确要求
	爱丁堡	34	经济学院	数字经济学和计量经济学硕士 MSc Mathematical Economics and Econometrics	1年	32000	R1:12.15 R2:12.16-次年5.4 R3:5.5-无明确日期	7/R L6.5 6 100/R L23 20	加分项	无明确要求	无明确要求
	伦敦政治经济学院	56	LSE法学院	法律与金融硕士 LLM Master of Laws	1年	39900	无明确日期	7.5/S6.5 7 109/R25 L24 W27 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	LSE法学院	法律硕士 MSc Law and Finance	10个月	51000	无明确日期	7.5/S6.5 7 109/R25 L24 W27 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	人类学系	人类学与发展硕士 MSc China in Comparative Perspective	1年	30400	无明确日期	7/R 7 6.5 100/R25 L22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	人类学系	文化、正义与环境硕士 MSc Culture, Justice and Environment	1年	30400	无明确日期	7/R 7 6.5 100/R25 L22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	人类学系	比较视角下的中国硕士 MSc China in Comparative Perspective	1年	30400	无明确日期	7/R 7 6.5 100/R25 L22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	人类学系	社会人类学硕士 MSc Social Anthropology	1年	30400	无明确日期	7/R 7 6.5 100/R25 L22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	人类学系	社会人类学硕士（当代世界的宗教） MSc Social Anthropology (Religion in the Contemporary World)	1年	30400	无明确日期	7/R 7 6.5 100/R25 L22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	会计系	会计、组织和机构硕士 MSc Accounting, Organisations and Institutions	10个月	39900	无明确日期	7/R 7 6.5 100/R25 L22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	会计系	会计与数据分析硕士 MSc Accounting, Organisations and Institutions	10个月	39900	无明确日期	7/R 7 6.5 100/R25 L22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	会计系	会计与金融硕士 MSc Accounting and Finance	10个月	43000	无明确日期	7/6.5 100/R23 L22 W24 S22	需要	无明确要求	无明确要求
	伦敦政治经济学院	56	公共政策学院	伦敦政治经济学院-哥伦比亚大学公共管理双硕士 LSE-Columbia Double Master of Public Administration	21个月	34100	R1:10.8-3.17	7/6.5 100/R23 L22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	公共政策学院	伦敦政治经济学院-多伦多大学公共管理双硕士（伦敦政治经济学院）和全球事务硕士学位（蒙克学院） LSE-University of Toronto Double Master of Public Administration (LSE) and Master of Global Affairs (Munk School)	21个月	32400	R1:10.8-次年1.22 R2:1.23-无明确日期	7/R7 6.5 100/R25 L22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	公共政策学院	伦敦政治经济学院-巴黎政治学院公共管理双硕士 LSE- Sciences Po Double Master of Public Administration	21个月	34100	R1:10.8-次年2.8	7/R7 6.5 100/R25 L22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	公共政策学院	公共政策的数据科学硕士 MPA in Data Science for Public Policy	21个月	34100	R1:10.8-次年1.22 R2:1.23-无明确日期	7/R7 6.5 100/R25 L22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	公共政策学院	公共政策硕士 Master of Public Policy	9个月	45300	R1:10.8-次年1.22 R2:1.23-无明确日期	7/6.5 100/R23 L22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	公共政策学院	公共管理硕士（MPA） Master of Public Administration (MPA)	21个月	34100	R1:10.8-次年1.22 R2:1.23-无明确日期	7/R7 6.5 100/R25 L22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	卫生政策系	健康数据科学硕士 MSc Global Health Policy	1年	34500	无明确日期	7/6.5 100/R23 S22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	卫生政策系	全球卫生政策硕士 MSc Global Health Policy	1年	34500	无明确日期	7/6.5 100/R23 S22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	卫生政策系	卫生政策、规划和筹资硕士 MSc Health Policy, Planning and Financing	1年	32000	R1:10.8-无明确日期	7/6.5 100/R23 S22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	卫生政策系	国际卫生政策（卫生经济学） MSc International Health Policy (Health Economics)	1年	34500	R1:10.8-无明确日期	7/6.5 100/R23 S22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	卫生政策系	国际卫生政策硕士 MSc International Health Policy	1年	34500	R1:10.8-无明确日期	7/6.5 100/R23 S22 W24 S22	无明确要求	无明确要求	无明确要求
	伦敦政治经济学院	56	哲学逻辑与科学方法系	哲学和公共政策硕士 MSc Philosophy and Public Policy	1年	30400	R1:10.8-无明确日期	7/R7 6.5 100/R25 S22 W24 S22			
	伦敦政治经济学院	56	哲学逻辑与科学方法系	科学哲学硕士							
	伦敦政治经济学院	56	哲学逻辑与科学方法系	经济学与社会科学哲学硕士							
	伦敦政治经济学院	56	国际关系学系	伦敦政治经济学院-巴黎政治大学双学位-国际商务							
	伦敦政治经济学院	56	国际关系学系	国际关系硕士							
	伦敦政治经济学院	56	国际关系学系	国际关系硕士（研究）							
	伦敦政治经济学院	56	国际关系学系	国际政治经济学硕士							
	伦敦政治经济学院	56	国际关系学系	国际政治经济学硕士（研究）							
	伦敦政治经济学院	56	国际历史系	伦敦政治经济学院-北京大学国际事务双硕士学位							
	伦敦政治经济学院	56	国际历史系	伦敦政治经济学院-哥伦比亚大学国际和世界历史双硕士							
	伦敦政治经济学院	56	国际历史系	伦敦政治经济学院-新加坡国立大学亚洲和国际历史双学位硕士							
	伦敦政治经济学院	56	国际历史系	国际关系史硕士							
	伦敦政治经济学院	56	国际历史系	国际关系理论与历史硕士							
	伦敦政治经济学院	56	国际历史系	国际和亚洲历史硕士							
	伦敦政治经济学院	56	国际历史系	帝国、殖民主义和全球化硕士							
	伦敦政治经济学院	56	国际历史系	现代史硕士							
	伦敦政治经济学院	56	国际发展系	伦敦政治经济学院-巴黎政治大学发展政治和经济学双学位							
	伦敦政治经济学院	56	国际发展系	卫生与国际发展硕士							
	伦敦政治经济学院	56	国际发展系	发展研究硕士							
	伦敦政治经济学院	56	国际发展系	发展管理硕士（政治经济学）							
	伦敦政治经济学院	56	国际发展系	发展管理硕士应用发展经济学（）							
	伦敦政治经济学院	56	国际发展系	国际发展和人道主义紧急状况硕士							
	伦敦政治经济学院	56	国际发展系	国际发展的经济政策硕士							
	伦敦政治经济学院	56	地理与环境系	人类地理和城市研究硕士（研究）							
	伦敦政治经济学院	56	地理与环境系	伦敦政治经济学院-北京大学环境政策、技术与健康双学位							
	伦敦政治经济学院	56	地理与环境系	伦敦政治经济学院-巴黎政治大学城市政策双学位							
	伦敦政治经济学院	56	地理与环境系	创新政策硕士							
	伦敦政治经济学院	56	地理与环境系	区域和城市规划研究硕士							
	伦敦政治经济学院	56	地理与环境系	地方经济发展硕士							
	伦敦政治经济学院	56	地理与环境系	地理数据科学硕士							
	伦敦政治经济学院	56	地理与环境系	城市化与发展硕士							
	伦敦政治经济学院	56	地理与环境系	房地产经济与金融硕士							
	伦敦政治经济学院	56	地理与环境系	环境与发展硕士							
	伦敦政治经济学院	56	地理与环境系	环境政策与法规硕士							
	伦敦政治经济学院	56	地理与环境系	环境经济学和气候变化硕士							
	伦敦政治经济学院	56	媒体与传播系	全球媒体与传播理学硕士（伦敦政治经济学院和开普敦大学）							
	伦敦政治经济学院	56	媒体与传播系	全球媒体与传播硕士（伦敦政治经济学院和南加州大学）							
	伦敦政治经济学院	56	媒体与传播系	全球媒体与传播硕士（伦敦政治经济学院和复旦大学）							
	伦敦政治经济学院	56	媒体与传播系	媒体、传播与发展硕士							
	伦敦政治经济学院	56	媒体与传播系	媒体与传播硕士							
	伦敦政治经济学院	56	媒体与传播系	媒体与传播硕士（传播、文化与全球城市）（伦敦政治经济学院和纽约大学）							
	伦敦政治经济学院	56	媒体与传播系	媒体与传播硕士（媒体与传播治理）							
	伦敦政治经济学院	56	媒体与传播系	媒体与传播硕士（数据与社会）							
	伦敦政治经济学院	56	媒体与传播系	媒体与传播硕士（研究）							
	伦敦政治经济学院	56	媒体与传播系	战略传播与社会硕士							
	伦敦政治经济学院	56	媒体与传播系	政治与传播硕士							
	伦敦政治经济学院	56	心理和行为科学系	社会与公共传播硕士							
	伦敦政治经济学院	56	心理和行为科学系	社会与文化心理学双硕士							
	伦敦政治经济学院	56	心理和行为科学系	社会与环境心理学硕士							
	伦敦政治经济学院	56	心理和行为科学系	组织与社会心理学硕士							
	伦敦政治经济学院	56	心理和行为科学系	行为科学硕士							
	伦敦政治经济学院	56	性别研究系	性别、发展和全球化硕士							
	伦敦政治经济学院	56	性别研究系	性别、和平和安全硕士							
	伦敦政治经济学院	56	性别研究系	性别、媒体和文化硕士							
	伦敦政治经济学院	56	性别研究系	性别、政策和不平等硕士							
	伦敦政治经济学院	56	性别研究系	性别学硕士							
	伦敦政治经济学院	56	性别研究系	性别学硕士（性）							
	伦敦政治经济学院	56	性别研究系	性别学硕士（权力和人权）							
	伦敦政治经济学院	56	性别研究系	性别学硕士（研究）							
	伦敦政治经济学院	56	政府系	公共政策与管理硕士							
	伦敦政治经济学院	56	政府系	政治学硕士（全球政治学）							
	伦敦政治经济学院	56	政府系	政治学硕士（冲突研究和比较政治）							
	伦敦政治经济学院	56	政府系	政治学硕士（政治学和政治经济学）							
	伦敦政治经济学院	56	政府系	政治学硕士（政治行为）							
	伦敦政治经济学院	56	政府系	政治理论硕士							
	伦敦政治经济学院	56	政府系	法规硕士							
	伦敦政治经济学院	56	数学系	数学与计算硕士							
	伦敦政治经济学院	56	数学系	运营研究与分析硕士							
	伦敦政治经济学院	56	数学系	金融数学硕士							
	伦敦政治经济学院	56	方法学系	应用社会数据科学硕士							
	伦敦政治经济学院	56	方法学系	社会研究方法硕士							
	伦敦政治经济学院	56	欧洲研究所	世界中的欧洲政治经济学硕士							
	伦敦政治经济学院	56	欧洲研究所	伦敦政治经济学院-博科尼大学欧洲和国际公共政策与政治双学位							
	伦敦政治经济学院	56	欧洲研究所	伦敦政治经济学院-哥伦比亚大学欧洲政治、冲突和文化双学位							
	伦敦政治经济学院	56	欧洲研究所	伦敦政治经济学院-复旦大学中欧全球政治经济双学位							
	伦敦政治经济学院	56	欧洲研究所	伦敦政治经济学院-巴黎政治大学欧洲研究双学位							
	伦敦政治经济学院	56	欧洲研究所	全球欧洲的文化与冲突硕士							
	伦敦政治经济学院	56	欧洲研究所	国际移民与公共政策硕士							
	伦敦政治经济学院	56	欧洲研究所	欧洲和国际政治与政策硕士							
	伦敦政治经济学院	56	社会学系	不平等现象和社会科学硕士							
	伦敦政治经济学院	56	社会学系	人权和政治学硕士							
	伦敦政治经济学院	56	社会学系	人权硕士							
	伦敦政治经济学院	56	社会学系	城市设计与社会科学硕士							
	伦敦政治经济学院	56	社会学系	政治社会学硕士							
	伦敦政治经济学院	56	社会学系	文化与社会硕士							
	伦敦政治经济学院	56	社会学系	社会学硕士							
	伦敦政治经济学院	56	社会学系	经济与社会硕士							
	伦敦政治经济学院	56	社会政策系	伦敦政治经济学院-复旦大学国际社会和公共政策双硕士							
	伦敦政治经济学院	56	社会政策系	国际社会与公共政策硕士（发展）							
	伦敦政治经济学院	56	社会政策系	国际社会与公共政策硕士（研究）							
	伦敦政治经济学院	56	社会政策系	国际社会与公共政策硕士（移民）							
	伦敦政治经济学院	56	社会政策系	国际社会与公共政策硕士（非政府组织）							
	伦敦政治经济学院	56	社会政策系	国际社会与公共政策硕士教育（）							
	伦敦政治经济学院	56	社会政策系	国际社会和公共政策硕士							
	伦敦政治经济学院	56	社会政策系	犯罪学和刑事司法政策硕士							
	伦敦政治经济学院	56	管理学系	人力资源与组织学硕士							
	伦敦政治经济学院	56	管理学系	信息系统管理与数字创新硕士							
	伦敦政治经济学院	56	管理学系	全球管理硕士							
	伦敦政治经济学院	56	管理学系	市场营销硕士							
	伦敦政治经济学院	56	管理学系	社会创新与创业硕士							
	伦敦政治经济学院	56	管理学系	管理与战略硕士							
	伦敦政治经济学院	56	管理学系	管理学硕士							
	伦敦政治经济学院	56	管理学系	经济学和管理学硕士							
	伦敦政治经济学院	56	经济史系	经济学硕士							
	伦敦政治经济学院	56	经济史系	经济学硕士（两年制课程）							
	伦敦政治经济学院	56	经济史系	计量经济学和数字经济学硕士							
	伦敦政治经济学院	56	经济学系	伦敦政治经济学院-莱比锡全球研究和经济史双学位							
	伦敦政治经济学院	56	经济学系	后发展政治经济学硕士							
	伦敦政治经济学院	56	经济学系	数据科学							
	伦敦政治经济学院	56	经济学系	经济史硕士							
	伦敦政治经济学院	56	经济学系	经济史硕士（研究）							
	伦敦政治经济学院	56	经济学系	经济学							
	伦敦政治经济学院	56	经济学系	金融史硕士							
	伦敦政治经济学院	56	统计学系	数据科学硕士							
	伦敦政治经济学院	56	统计学系	统计学硕士							
	伦敦政治经济学院	56	统计学系	统计学硕士（研究）							
	伦敦政治经济学院	56	统计学系	金融统计学硕士							
	伦敦政治经济学院	56	统计学系	金融统计学硕士（研究型）							
	伦敦政治经济学院	56	统计学系	风险管理定量方法硕士							
	伦敦政治经济学院	56	金融系	金融与私募股权投资硕士							
	伦敦政治经济学院	56	金融系	金融与风险硕士							
	伦敦政治经济学院	56	金融系	金融和经济学硕士							
	伦敦政治经济学院	56	金融系	金融学硕士（全日制）							
	华威大学	74	全球可持续发展系	全球可持续发展硕士							
	华威大学	74	创意艺术、表演和视觉文化学院	写作硕士							
	华威大学	74	制造工程学院	数据分析							
	华威大学	74	化学系	全球去碳化与气候变化硕士							
	华威大学	74	化学系	全球去碳化与气候变化硕士（政策）							
	华威大学	74	化学系	全球去碳化与气候变化硕士（科学）							
	华威大学	74	化学系	分析与聚合物科学硕士							
	华威大学	74	化学系	分析科学与仪器仪表硕士							
	华威大学	74	化学系	化学与科学写作硕士							
	华威大学	74	化学系	科学研究与传播硕士							
	华威大学	74	化学系	高分子化学硕士							
	华威大学	74	化学系	高分子科学硕士							
	华威大学	74	华威制造学院	供应链和物流管理硕士							
	华威大学	74	华威制造学院	创新与创业硕士							
	华威大学	74	华威制造学院	可持续性设计研究							
	华威大学	74	华威制造学院	可持续汽车电气化硕士							
	华威大学	74	华威制造学院	商业卓越管理硕士							
	华威大学	74	华威制造学院	国际贸易，战略和运营硕士							
	华威大学	74	华威制造学院	工程商务管理硕士							
	华威大学	74	华威制造学院	工程设计管理硕士							
	华威大学	74	华威制造学院	应用人工智能硕士							
	华威大学	74	华威制造学院	智能、互联网和自动驾驶汽车硕士							
	华威大学	74	华威制造学院	游戏工程硕士							
	华威大学	74	华威制造学院	电子商务管理硕士							
	华威大学	74	华威制造学院	网络安全工程硕士							
	华威大学	74	华威制造学院	网络安全管理硕士							
	华威大学	74	华威制造学院	项目管理硕士							
	华威大学	74	华威医学院	公共卫生硕士							
	华威大学	74	华威医学院	跨学科生物医学研究硕士							
	华威大学	74	华威商学院	会计与可持续发展硕士							
	华威大学	74	华威商学院	会计与财务管理硕士							
	华威大学	74	华威商学院	信息系统管理和数字创新硕士							
	华威大学	74	华威商学院	创业与创新管理							
	华威大学	74	华威商学院	商业与市场营销硕士							
	华威大学	74	华威商学院	商业与运营管理硕士							
	华威大学	74	华威商学院	商业与金融硕士							
	华威大学	74	华威商学院	商业分析与人工智能硕士							
	华威大学	74	华威商学院	商务与咨询硕士							
	华威大学	74	华威商学院	国际商务硕士							
	华威大学	74	华威商学院	工商管理硕士							
	华威大学	74	华威商学院	数字金融学硕士							
	华威大学	74	华威商学院	管理硕士							
	华威大学	74	华威商学院	营销战略硕士							
	华威大学	74	华威商学院	金融与经济学硕士							
	华威大学	74	华威商学院	金融技术硕士							
	华威大学	74	华威商学院	金融硕士							
	华威大学	74	历史系	历史硕士							
	华威大学	74	古典与古代史系	古代文学与思想硕士							
	华威大学	74	古典与古代史系	古代视觉与物质文化硕士							
	华威大学	74	哲学系	哲学与艺术硕士							
	华威大学	74	哲学系	哲学硕士							
	华威大学	74	哲学系	欧陆哲学硕士							
	华威大学	74	工程学院	人道主义工程（可持续性）硕士							
	华威大学	74	工程学院	人道主义工程（管理）硕士							
	华威大学	74	工程学院	人道主义工程硕士							
	华威大学	74	工程学院	生物医学工程硕士							
	华威大学	74	工程学院	电力工程硕士							
	华威大学	74	工程学院	电气与电子工程硕士							
	华威大学	74	工程学院	诊断学、数据和数字健康硕士							
	华威大学	74	工程学院	诊断学、数据和数字健康硕士（医学影像）							
	华威大学	74	工程学院	诊断学、数据和数字健康硕士（医学诊断学）							
	华威大学	74	工程学院	通信与信息工程硕士							
	华威大学	74	工程学院	预测模型与科学计算硕士							
	华威大学	74	工程学院	高级机械工程硕士							
	华威大学	74	应用语言学系	商务和专业跨文化交际硕士							
	华威大学	74	应用语言学系	对外英语教学硕士							
	华威大学	74	心理学系	心理健康与幸福硕士							
	华威大学	74	心理学系	心理学研究硕士							
	华威大学	74	心理学系	行为与经济科学（科学）硕士							
	华威大学	74	心理学系	行为和数据科学硕士							
	华威大学	74	戏剧和表演研究系	应用戏剧硕士：艺术、行动、变化硕士							
	华威大学	74	政治与国际研究系	公共政策硕士							
	华威大学	74	政治与国际研究系	国际关系硕士							
	华威大学	74	政治与国际研究系	国际发展硕士							
	华威大学	74	政治与国际研究系	国际安全硕士							
	华威大学	74	政治与国际研究系	国际政治经济学硕士							
	华威大学	74	政治与国际研究系	政治与法律理论硕士							
	华威大学	74	政治与国际研究系	气候变化中的政治学硕士							
	华威大学	74	教育研究学系	伊斯兰教育：理论与实践硕士							
	华威大学	74	教育研究学系	全球教育与国际发展硕士							
	华威大学	74	教育研究学系	心理学与教育学硕士							
	华威大学	74	教育研究学系	戏剧与戏剧教育硕士							
	华威大学	74	教育研究学系	教育硕士							
	华威大学	74	教育研究学系	教育领导与管理硕士							
	华威大学	74	教育研究学系	社会儿童研究硕士							
	华威大学	74	数学系研究所	数学文凭+硕士							
	华威大学	74	数学系研究所	数学硕士							
	华威大学	74	文化和媒体政策研究中心	全球媒体与传播硕士							
	华威大学	74	文化和媒体政策研究中心	创意与媒体企业硕士							
	华威大学	74	文化和媒体政策研究中心	艺术，企业与发展硕士							
	华威大学	74	文艺复兴研究中心	欧洲文艺复兴时期的文化硕士							
	华威大学	74	法学院	国际公司治理与金融							
	华威大学	74	法学院	国际发展法与人权法学硕士							
	华威大学	74	法学院	国际商法硕士							
	华威大学	74	法学院	国际经济法硕士							
	华威大学	74	法学院	高级法律研究法律硕士							
	华威大学	74	现代语言文化学院	翻译与文化硕士							
	华威大学	74	生命科学学院	医学生物技术和商业管理硕士							
	华威大学	74	生命科学学院	气候变化中的环境生物科学硕士							
	华威大学	74	生命科学学院	生物技术，生物加工和商业管理硕士							
	华威大学	74	生命科学学院	食品安全硕士							
	华威大学	74	电影和电视研究系	电影和电视研究硕士							
	华威大学	74	电影和电视研究系	电影电视研究硕士							
	华威大学	74	社会学系	性别与国际发展硕士							
	华威大学	74	社会学系	性别和性取向学硕士							
	华威大学	74	社会学系	社会不平等和研究方法硕士							
	华威大学	74	社会学系	社会学硕士							
	华威大学	74	社会学系	社会政治思想硕士							
	华威大学	74	终身学习中心	职业发展和教育研究硕士							
	华威大学	74	经济学系	经济学和国际金融经济学硕士							
	华威大学	74	经济学系	经济学和数据科学硕士							
	华威大学	74	经济学系	经济学文凭+硕士							
	华威大学	74	经济学系	经济学硕士							
	华威大学	74	经济学系	行为与经济科学（经济学）硕士							
	华威大学	74	统计学系	统计硕士							
	华威大学	74	英语和比较文学研究系	世界文学硕士							
	华威大学	74	英语和比较文学研究系	批判与文化理论硕士							
	华威大学	74	英语和比较文学研究系	环境人文硕士							
	华威大学	74	英语和比较文学研究系	英语和戏剧硕士							
	华威大学	74	英语和比较文学研究系	英语文学硕士							
	华威大学	74	计算机科学系	数据分析							
	华威大学	74	计算机科学系	计算机科学硕士							
	华威大学	74	跨学科研究中心	人工智能与社会硕士							
	华威大学	74	跨学科研究中心	大数据和数字未来硕士							
	华威大学	74	跨学科研究中心	数字媒体与文化硕士							
	华威大学	74	跨学科研究中心	数据可视化硕士							
	布里斯托大学	51	健康与生命科学院	临床神经心理学硕士							
	布里斯托大学	51	健康与生命科学院	全球野生动物健康与保护硕士							
	布里斯托大学	51	健康与生命科学院	公共卫生硕士							
	布里斯托大学	51	健康与生命科学院	分子神经科学硕士							
	布里斯托大学	51	健康与生命科学院	医学与健康人工智能硕士							
	布里斯托大学	51	健康与生命科学院	医学统计和健康数据科学硕士							
	布里斯托大学	51	健康与生命科学院	卫生经济学和卫生政策分析硕士							
